ObjectNum,diameter,scoped,occ,DDLat,DDLong,Time,Northing,Easting,NEAR_DIST,Site,Horz_Veg,Burn
169,36,n,NA,31.295205,-84.457019,6/13/2015 6:17,3467479.965,170900.441,5.544597367,1_yr_rough,0,post-burn
170,36,y,1,31.297994,-84.455827,6/13/2015 8:53,3467785.767,171023.74,3.654002633,1_yr_rough,5.45244,post-burn
171,36,y,1,31.295017,-84.45757,6/13/2015 6:14,3467460.706,170847.377,13.71470263,1_yr_rough,0,post-burn
172,37,y,0,31.295824,-84.456122,6/13/2015 6:38,3467545.934,170988.042,1.513297364,1_yr_rough,0,post-burn
173,37,y,0,31.294223,-84.456798,6/13/2015 7:55,3467370.349,170918.148,34.07120263,1_yr_rough,0,post-burn
174,37,y,1,31.295412,-84.455276,6/13/2015 6:28,3467497.702,171067.178,23.28199737,1_yr_rough,1.39902,post-burn
175,37,y,1,31.29623,-84.455365,6/13/2015 7:00,3467588.666,171061.613,9.245197367,1_yr_rough,0.329145,post-burn
176,37,y,1,31.296522,-84.455705,6/13/2015 7:07,3467622.132,171030.215,27.28820264,1_yr_rough,0,post-burn
177,37,y,1,31.29681,-84.456033,6/13/2015 7:09,3467655.019,171000.021,5.598697364,1_yr_rough,0,post-burn
178,37,y,1,31.294557,-84.456613,6/13/2015 7:56,3467406.906,170936.853,2.485997366,1_yr_rough,0,post-burn
179,37,y,1,31.293469,-84.45521,6/13/2015 8:34,3467282.017,171066.752,18.84187731,1_yr_rough,0,post-burn
180,38,y,NA,31.294607,-84.455767,6/13/2015 8:07,3467409.884,171017.613,5.463897366,1_yr_rough,0,post-burn
181,38,y,1,31.295806,-84.45613,6/13/2015 6:38,3467543.98,170987.27,0.440502636,1_yr_rough,0,post-burn
182,38,y,1,31.296387,-84.455994,6/13/2015 6:56,3467608.048,171002.187,28.62709737,1_yr_rough,0,post-burn
183,39,y,0,31.298661,-84.455512,6/13/2015 8:55,3467858.807,171056.075,0.613702637,1_yr_rough,0.902189,post-burn
184,39,y,1,31.293582,-84.455451,6/13/2015 8:32,3467295.248,171044.159,31.89891234,1_yr_rough,0,post-burn
185,40,y,0,31.296131,-84.45623,6/13/2015 6:40,3467580.286,170978.897,0.865297366,1_yr_rough,0,post-burn
186,40,y,0,31.294286,-84.455636,6/13/2015 8:08,3467373.87,171029.032,30.55050263,1_yr_rough,0,post-burn
187,41,y,0,31.295865,-84.456785,6/13/2015 6:42,3467552.481,170925.04,8.060697364,1_yr_rough,0,post-burn
188,41,y,0,31.293227,-84.455364,6/13/2015 8:33,3467255.634,171051.287,7.658716186,1_yr_rough,0,post-burn
189,41,y,1,31.293982,-84.455319,6/13/2015 8:16,3467339.203,171058.12,4.782097364,1_yr_rough,0,post-burn
190,41,y,1,31.293978,-84.455475,6/13/2015 8:17,3467339.192,171043.239,4.771797365,1_yr_rough,0,post-burn
191,41,y,1,31.293766,-84.455599,6/13/2015 8:18,3467316.038,171030.692,18.38260264,1_yr_rough,0,post-burn
192,42,y,0,31.295099,-84.456052,6/13/2015 6:22,3467465.345,170992.243,9.075902633,1_yr_rough,0,post-burn
